Unnamed: 0,Tweets,id,lens,date,place,coordinateS,lang,source,likes,retweets,Clean_Tweet
22,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390759747780030467,140,2021-05-07 20:05:37,,,en,Twitter for Android,0,10365,kellcey story bear witness countless woman gone also offer message
23,"RT @GoogleExpertUK: @DaveRush2011 @LittleJanhere @Line_of_duty for real Dave! 
 #LineOfDuty #Dundee 🚔 #AC12 

@martin_compston @Vicky_McClu…",1390759501956009992,140,2021-05-07 20:04:38,,,en,Twitter Web App,0,7,real dave lineofduty dundee
24,RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o…,1390758530911768576,140,2021-05-07 20:00:47,,,en,Twitter for iPhone,0,67,victim sexual assault coming forward relation gurdwara derby case rank one
25,"RT @Rosenchild: @washingtonpost 🚨 The #Republican party / #GOP has become filled with:

#Racism
#Prejudice
#Stereotyping
#Hate Crimes / #Wr…",1390757804307320837,140,2021-05-07 19:57:54,,,en,Twitter Web App,0,1,republican party gop become filled racism prejudice stereotyping hate crime
26,"@washingtonpost 🚨 The #Republican party / #GOP has become filled with:

#Racism
#Prejudice
#Stereotyping
#Hate Crimes / #Wrath
#Fraud / White Collar Crime
#Greed
#Lust
#Envy
#Gluttony
#Sloth
#Xenophobia
#Homophobia
#Sexism
#Rape
#Molestation
#Propaganda
#Pseudoscience
#Conspiracy Theories https://t.co/XfuSJ9PmtN",1390757779179253766,313,2021-05-07 19:57:48,,,en,Twitter Web App,2,1,republican party gop become filled racism prejudice stereotyping hate crime wrath fraud white collar crime greed lust envy gluttony sloth xenophobia homophobia sexism rape molestation propaganda pseudoscience conspiracy theory
27,"b""Y'all can't just erase what y'all did to our ancestors and us. Deal with your b.s! #America_Exposed #SystemicRacism #lynching #racism #culturalappropriation #pillaging #genocide #alienation #gentrificacion #murder #Kidnapping #rape #torture #theft the list goes on""",1390757344015904769,264,2021-05-07 19:56:04,"Place(_api=<tweepy.api.API object at 0x7fd4c3f65910>, id='a592bd6ceb1319f7', url='https://api.twitter.com/1.1/geo/id/a592bd6ceb1319f7.json', place_type='city', name='San Diego', full_name='San Diego, CA', country_code='US', country='United States', contained_within=[], bounding_box=BoundingBox(_api=<tweepy.api.API object at 0x7fd4c3f65910>, type='Polygon', coordinates=[[[-117.282538, 32.53962], [-116.9274403, 32.53962], [-116.9274403, 33.0804044], [-117.282538, 33.0804044]]]), attributes={})",,en,Twitter for iPhone,0,0,byall cant erase yall ancestor deal americaexposed systemicracism lynching racism culturalappropriation pillaging genocide alienation gentrificacion murder kidnapping rape torture theft list go
28,"RT @hyrbyair_marri: If the so-called civilised world and the #UN had taken serious notice of the incident in #Dhaka on 21st Feb 1952, then…",1390757339339255808,139,2021-05-07 19:56:03,,,en,Twitter for Android,0,143,socalled civilised world taken serious notice incident dhaka feb
29,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390756034168373250,140,2021-05-07 19:50:52,,,en,Twitter Web App,0,10365,kellcey story bear witness countless woman gone also offer message
30,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390754417289441280,140,2021-05-07 19:44:26,,,en,Twitter for Android,0,10365,kellcey story bear witness countless woman gone also offer message
31,RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o…,1390752346913878016,140,2021-05-07 19:36:13,,,en,Twitter for iPhone,0,67,victim sexual assault coming forward relation gurdwara derby case rank one
32,"Do you need help dealing with #SexualAssault, #Rape, or incest? Call @RAINN’s Hotline 800.656.HOPE (4673) to talk to a trained staff member from a sexual assault service provider in your area. 

Don’t feel comfortable talking? Use Chat/text  instead: https://t.co/5fqofFp4kh https://t.co/Ci10KzrSG1",1390750872536293378,298,2021-05-07 19:30:21,,,en,Hootsuite Inc.,3,0,need help dealing sexualassault rape incest call hotline hope talk trained staff member sexual assault service provider area don’t feel comfortable talking use chattext instead
33,"b""RT @AmandaGreenUK: 200+ reviews on Amazon &amp; Goodreads **** Life could definitely be worse. Life could definitely be better. Here's my story\xe2\x80\xa6""",1390750041455931395,144,2021-05-07 19:27:03,,,en,Twitter Web App,0,20,review amazon amp goodreads life could definitely worse life could definitely better here storyxexxa
34,RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o…,1390748419631763459,140,2021-05-07 19:20:36,,,en,Twitter for iPhone,0,67,victim sexual assault coming forward relation gurdwara derby case rank one
35,"RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN
Idaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl…",1390742443541291013,144,2021-05-07 18:56:51,,,en,Twitter for Android,0,192,republican brutally rape intern idaho lawmaker von ehlinger raped office intern amp released name unl
36,"RT @MartinRJay: My latest investigation - 

Revealed: #UK Government in the spotlight over #UN sex crimes, #Whistleblower warns of “rape cu…",1390742381868245001,140,2021-05-07 18:56:37,,,en,Twitter Web App,0,22,latest investigation revealed government spotlight sex crime whistleblower warns “rape
37,RT @berkey_vicky: @BombshellDAILY So how can a person who commits a felony go to court and say yeah but ..? WTF? #rape #Texas,1390742224237961222,125,2021-05-07 18:55:59,,,en,Twitter for iPhone,0,2,person commits felony court say yeah wtf rape texas
38,RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o…,1390740598659813377,140,2021-05-07 18:49:32,,,en,Twitter for iPhone,0,67,victim sexual assault coming forward relation gurdwara derby case rank one
39,RT @berkey_vicky: @BombshellDAILY So how can a person who commits a felony go to court and say yeah but ..? WTF? #rape #Texas,1390740574475522053,125,2021-05-07 18:49:26,,,en,Twitter for Android,0,2,person commits felony court say yeah wtf rape texas
40,"#MeganRondini lawsuit can proceed, state supreme court rules: Former #Alabama student died in suicide after alleged #rape - https://t.co/kLlhSJ7xdu - CarolRobinson @UofAlabama @IngrahamAngle @TuckerCarlson @GovMikeHuckabee @MailOnline #RollTide @wsfa12news https://t.co/riQY5yS6iw",1390740107448229889,280,2021-05-07 18:47:34,,,en,Twitter for iPad,0,0,meganrondini lawsuit proceed state supreme court rule former alabama student died suicide alleged rape carolrobinson rolltide
41,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390739615687061506,140,2021-05-07 18:45:37,,,en,Twitter Web App,0,10365,kellcey story bear witness countless woman gone also offer message
43,"End sexual violence #rape &amp; #toxic rape culture in #Nigeria 
Full video: https://t.co/LuQlVJknrp 
#JusticeForHinyUmoren 💔 https://t.co/Q7L8sJKKb5",1390738787504898051,149,2021-05-07 18:42:20,,,en,Twitter Web App,1,0,end sexual violence rape amp toxic rape culture nigeria full video justiceforhinyumoren
44,"RT @MsDarcyFarrow: @AmyBrenneman Hello Amy, you’ll not remember my name but you read my comment RE #rape #abortion on your #Instagram live…",1390736262982742022,139,2021-05-07 18:32:18,,,en,Twitter for iPhone,0,1,hello amy you’ll remember name read comment rape abortion instagram live
45,"RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN
Idaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl…",1390735936028303366,144,2021-05-07 18:31:00,,,en,Twitter for iPad,0,192,republican brutally rape intern idaho lawmaker von ehlinger raped office intern amp released name unl
46,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390735818332033026,140,2021-05-07 18:30:32,,,en,Twitter Web App,0,10365,kellcey story bear witness countless woman gone also offer message
47,"RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN
Idaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl…",1390735549544079362,144,2021-05-07 18:29:28,,,en,Twitter Web App,0,192,republican brutally rape intern idaho lawmaker von ehlinger raped office intern amp released name unl
48,"RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN
Idaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl…",1390734518596812807,144,2021-05-07 18:25:22,,,en,Twitter for iPhone,0,192,republican brutally rape intern idaho lawmaker von ehlinger raped office intern amp released name unl
49,"RT @struggle4_truth: @smittal_ips @AnandVasishtha Sir we as True Indian at Heart raise #CAASupport

U too plz Raise Support to....
#MensCom…",1390734170670866438,140,2021-05-07 18:23:59,,,en,Twitter for Android,0,56,sir true indian heart raise caasupport plz raise support menscom
50,"RT @Elelta5: Many #rape victims of #Tigray have contracted sexually transmitted diseases, including #HIV., doctors say. Demand for #abortio…",1390733804336189446,140,2021-05-07 18:22:32,,,en,Twitter for iPhone,0,2,many rape victim tigray contracted sexually transmitted disease including hiv doctor say demand abortio
51,"RT @Elelta5: Many #rape victims of #Tigray have contracted sexually transmitted diseases, including #HIV., doctors say. Demand for #abortio…",1390733369978212357,140,2021-05-07 18:20:48,,,en,Twitter Web App,0,2,many rape victim tigray contracted sexually transmitted disease including hiv doctor say demand abortio
52,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390733032164773888,140,2021-05-07 18:19:28,,,en,Twitter for Android,0,10365,kellcey story bear witness countless woman gone also offer message
53,"Many #rape victims of #Tigray have contracted sexually transmitted diseases, including #HIV., doctors say. Demand for #abortions and emergency contraceptives has risen. #TigrayWarRapeVictims #WeaponizedRape 
@UN
 @Haavisto @EUCouncil @AnnLinde @USAmbUN https://t.co/9ECapKB1Bh",1390733000200101894,276,2021-05-07 18:19:20,,,en,Twitter for Android,1,2,many rape victim tigray contracted sexually transmitted disease including hiv doctor say demand abortion emergency contraceptive risen tigraywarrapevictims weaponizedrape
54,"RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN
Idaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl…",1390732167756591106,144,2021-05-07 18:16:02,,,en,Twitter Web App,0,192,republican brutally rape intern idaho lawmaker von ehlinger raped office intern amp released name unl
55,"RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN
Idaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl…",1390731987661561858,144,2021-05-07 18:15:19,,,en,TweetDeck,0,192,republican brutally rape intern idaho lawmaker von ehlinger raped office intern amp released name unl
56,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390731636866756608,140,2021-05-07 18:13:55,,,en,Twitter for iPhone,0,10365,kellcey story bear witness countless woman gone also offer message
57,"#SAC is not a civilized group. They are thugs. They never cared about civilians nor ever will. What can you expect from a group who commits #Genocide, #Rape, #CrimesAgainstHumanity, #MassAtrocities? https://t.co/0TSAx6n5mH",1390730902959919104,222,2021-05-07 18:11:00,,,en,Twitter for iPhone,0,0,sac civilized group thug never cared civilian ever expect group commits genocide rape crimesagainsthumanity massatrocities
58,"RT @GistHubNaija: Schoolchildren sing songs teaching them about sexual harassment.
#ogba #Orlu #rape #DavidoAt10 #Kroos #ISIS https://t.co/…",1390728449933852678,140,2021-05-07 18:01:15,,,en,Twitter for Android,0,7,schoolchildren sing song teaching sexual harassment ogba orlu rape davidoat kroos isi
59,"RT @MartinRJay: My latest investigation - 

Revealed: #UK Government in the spotlight over #UN sex crimes, #Whistleblower warns of “rape cu…",1390727914996502532,140,2021-05-07 17:59:08,,,en,Twitter Web App,0,22,latest investigation revealed government spotlight sex crime whistleblower warns “rape
60,"b""RT @AmandaGreenUK: 200+ reviews on Amazon &amp; Goodreads **** Life could definitely be worse. Life could definitely be better. Here's my story\xe2\x80\xa6""",1390726806110625796,144,2021-05-07 17:54:43,,,en,Twitter for Android,0,20,review amazon amp goodreads life could definitely worse life could definitely better here storyxexxa
61,Some one must pick them for taking them at Rohingya camp in Indian Syria ( West Bengal ) . Rohingyas will definitely satisfy them with practical demo on #Rape . #AntiHinduMamata #BengalViolence #PresidentRuleInBengal #BangalBurning https://t.co/sTjj1ZEL1d,1390725447428702208,255,2021-05-07 17:49:19,,,en,Twitter for iPhone,0,0,one must pick taking rohingya camp indian syria west bengal rohingyas definitely satisfy practical demo rape antihindumamata bengalviolence presidentruleinbengal bangalburning
62,"RT @GistHubNaija: Schoolchildren sing songs teaching them about sexual harassment.
#ogba #Orlu #rape #DavidoAt10 #Kroos #ISIS https://t.co/…",1390725217555783683,140,2021-05-07 17:48:24,,,en,Twitter for Android,0,7,schoolchildren sing song teaching sexual harassment ogba orlu rape davidoat kroos isi
63,"b""#youramerica #torture #assault #yourheroes #yourmonsters #corruption #rape #murder #theft #accountability #civilrights #houston #dallas #satxpolice  #endqualifiedimmunity\nNew Bill Will Prevent Fired 'Gypsy Cops' From Moving to New Depts to Strike Again https://t.co/6fCrhnJ1rO""",1390724971463385096,276,2021-05-07 17:47:26,,,en,Twitter Web App,0,0,byouramerica torture assault yourheroes yourmonsters corruption rape murder theft accountability civilrights houston dallas satxpolice endqualifiedimmunitynnew bill prevent fired gypsy cop moving new depts strike
64,RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o…,1390722320617009155,140,2021-05-07 17:36:54,,,en,Twitter for iPhone,0,67,victim sexual assault coming forward relation gurdwara derby case rank one
65,"RT @TruckerDesiree: Hi Mike 👋  ,  yes, I suppose in many ways I have personally but unfortunately still trying to hold #trucking industry a…",1390720961008242688,140,2021-05-07 17:31:30,,,en,Twitter for Android,0,1,mike yes suppose many way personally unfortunately still trying hold trucking industry
66,@BombshellDAILY So how can a person who commits a felony go to court and say yeah but ..? WTF? #rape #Texas,1390720894071451651,107,2021-05-07 17:31:14,,,en,Twitter for iPhone,1,2,person commits felony court say yeah wtf rape texas
67,RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o…,1390720553208537090,140,2021-05-07 17:29:52,,,en,Twitter for Android,0,67,victim sexual assault coming forward relation gurdwara derby case rank one
68,"b""Dear CM @MamataOfficial, @BanglarGorboMB,\n\nI'm requesting you to Punish those criminals of Saswati Jana #rape &amp; #murder case.\n\n@idevadhikari, @jdhankhar1 @jeet30, @ItsYourDev please help us to deliver our massage to the government \n\n#justice_for_saswati\n#hang_on_repiest""",1390718227957784579,274,2021-05-07 17:20:38,,,en,Twitter for Android,0,0,bdear nnim requesting punish criminal saswati jana rape amp murder casenn please help deliver massage government nnjusticeforsaswatinhangonrepiest
69,"b""RT @Mr_Sayan20: Dear CM @MamataOfficial, @BanglarGorboMB,\n\nI'm requesting you to Punish those criminals of Saswati Jana #rape &amp; #murder cas\xe2\x80\xa6""",1390717874499579906,144,2021-05-07 17:19:14,,,en,Twitter for Android,0,1,dear nnim requesting punish criminal saswati jana rape amp murder casxexxa
70,"RT @temesgen_kahsay: ""There are no tidy or fully satisfactory solutions available in Ethiopia."" 

But there is one solution that is always…",1390717838201999361,139,2021-05-07 17:19:05,,,en,Twitter for Android,0,7,tidy fully satisfactory solution available ethiopia one solution always
71,"RT @GistHubNaija: Schoolchildren sing songs teaching them about sexual harassment.
#ogba #Orlu #rape #DavidoAt10 #Kroos #ISIS https://t.co/…",1390717287364243458,140,2021-05-07 17:16:54,,,en,Twitter for Android,0,7,schoolchildren sing song teaching sexual harassment ogba orlu rape davidoat kroos isi
72,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390714268111228929,140,2021-05-07 17:04:54,,,en,Twitter Web App,0,10365,kellcey story bear witness countless woman gone also offer message
73,"RAPEIST CAUGHT BY SP WAHAB
#INTERVIEW 
#crimesnews 
#rape 
#snatching https://t.co/7W90rfVatn",1390713684436164608,93,2021-05-07 17:02:35,,,en,Twitter for Android,3,0,rapeist caught wahab interview crimesnews rape snatching
74,RT @Ethiopia_Abebe: Sexual violence victims in Tigray struggle with psychological impact #TigrayGenocide #WeaponizedRape #SexualAssault #SG…,1390713467909419010,140,2021-05-07 17:01:43,,,en,Twitter for iPhone,0,4,sexual violence victim tigray struggle psychological impact tigraygenocide weaponizedrape sexualassault
75,"Every woman has the right to wear what she wants as sexy as she likes ... and goes wherever she wants even alone .

Noone has the right to judge her , let alone rape her for wearing whatever she likes . 

#rape #greece #sexual #abused #ελλαδα #βιασμος https://t.co/sVYjNBuj3y",1390713047350718464,275,2021-05-07 17:00:03,,,en,Twitter for Android,0,0,every woman right wear want sexy like go wherever want even alone noone right judge let alone rape wearing whatever like rape greece sexual abused ελλαδα βιασμος
76,"RT @DograSonakshi: Kitni lasho aur khoon ko FAKE bologe aap? Kab tak sach ko chupaoge? 

@AITCofficial KA GUNDA-RAJ !! 
Women are raped, fa…",1390712592243388418,140,2021-05-07 16:58:14,,,en,Twitter Web App,0,288,kitni lasho aur khoon fake bologe aap kab tak sach chupaoge gundaraj woman raped
77,RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o…,1390712060783341576,140,2021-05-07 16:56:08,,,en,Twitter for Android,0,67,victim sexual assault coming forward relation gurdwara derby case rank one
79,"RT @tsearaia: Using z political, moral &amp; ethical bankruptcy of z genocidal &amp; terrorist #TPLF tribal junta apparatchiks, @martinplaut &amp; @Dan…",1390711284438638597,152,2021-05-07 16:53:03,,,en,Twitter for iPhone,0,7,using political moral amp ethical bankruptcy genocidal amp terrorist tplf tribal junta apparatchik amp
80,"RT @KaceyKells: KELLCEY ""This story not only bears witness to what countless other women have gone through, but also offers a message of ho…",1390711166293483522,140,2021-05-07 16:52:34,,,en,Twitter Web App,0,10365,kellcey story bear witness countless woman gone also offer message
83,"RT @GistHubNaija: Schoolchildren sing songs teaching them about sexual harassment.
#ogba #Orlu #rape #DavidoAt10 #Kroos #ISIS https://t.co/…",1390709109859696643,140,2021-05-07 16:44:24,,,en,Twitter for Android,0,7,schoolchildren sing song teaching sexual harassment ogba orlu rape davidoat kroos isi
85,RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o…,1390705671184822278,140,2021-05-07 16:30:44,,,en,Twitter Web App,0,67,victim sexual assault coming forward relation gurdwara derby case rank one
86,"RT @leslierenfrew: #Rape - date rape - sexual assault - assault - molestation. See what they did there? Note who benefitted 
 #LanguageMatt…",1390703982352424964,140,2021-05-07 16:24:02,,,en,Twitter Web App,0,2,rape date rape sexual assault assault molestation see note benefitted languagematt
87,"If a ladies rape a guy and she get pregnant..is the guy responsible for the pregnant?
#rape #EndSARS #MeToo #NaijaPatriotReport #sweatone",1390702351808438275,137,2021-05-07 16:17:33,,,en,Twitter for iPhone,0,0,lady rape guy get pregnantis guy responsible pregnant rape endsars metoo naijapatriotreport sweatone
88,Sexual Assault of Men Played for Laughs - Part 2 Female Perpetrators 🎬 https://t.co/vDGhF7PsCf #mentoo #sexualassault #justice #good #Entertainment #hollywood #rape #notfunny #message #industry #films #good #people #genre #abusehasnogender #metoo #watch #important #media #sad,1390700919902384129,276,2021-05-07 16:11:51,,,en,Twitter for iPhone,0,0,sexual assault men played laugh part female perpetrator mentoo sexualassault justice good entertainment hollywood rape notfunny message industry film good people genre abusehasnogender metoo watch important medium sad
89,"RT @Mehwishkakakhel: In cases of #Rape, the conviction rate is very Low. With the special courts established under Anti Rape Ordinance, the…",1390700766688600065,140,2021-05-07 16:11:15,,,en,Twitter for Android,0,2,case rape conviction rate low special court established anti rape ordinance
91,RT @EndBlasphemylws: Do ppl really now how it must be for #minorities to live in #Pakistan ? #allegedblasphemy #forcedconversion #jobdiscri…,1390697267557027848,140,2021-05-07 15:57:21,,,en,Twitter Web App,0,9,ppl really must minority live pakistan allegedblasphemy forcedconversion jobdiscri
92,"Did you know? Sexual predators often have strong impulse control, and plan and stalk their victims in advance.
#SexualAssault #Rape #CommunityAgainstViolence #LibertyLaw
https://t.co/tFCmrh3NpP",1390695383571910665,193,2021-05-07 15:49:51,,,en,Twitter for Android,0,0,know sexual predator often strong impulse control plan stalk victim advance sexualassault rape communityagainstviolence libertylaw
93,"RT @Tigray98440306: Many #rape victims of #Tigray have contracted sexually transmitted diseases, including #HIV., doctors say. Demand for #…",1390695284284350468,140,2021-05-07 15:49:28,,,en,Twitter Web App,0,1,many rape victim tigray contracted sexually transmitted disease including hiv doctor say demand
94,"RT @BombshellDAILY: REPUBLICAN BRUTALLY RAPES HIS INTERN
Idaho Lawmaker Von Ehlinger raped his office intern, &amp; then released her name, unl…",1390693370406838279,144,2021-05-07 15:41:51,,,en,Twitter for iPhone,0,192,republican brutally rape intern idaho lawmaker von ehlinger raped office intern amp released name unl
95,"I thought in this world "" HUMANITY ""
Is 1st priority ,
But I was truly wrong ,
MONEY ,
FAME ,
MURDER ,
ABUSING ,
RAPE ,
DEMOCRATIC PARTIES ,

This is not our culture I thought I 
Learn from the books and the holy books .

#rape #HumanityFirst #Bengalisburning",1390693351855247364,259,2021-05-07 15:41:47,,,en,Twitter for Android,0,0,thought world humanity priority truly wrong money fame murder abusing rape democratic party culture thought learn book holy book rape humanityfirst bengalisburning
96,"RT @DograSonakshi: Kitni lasho aur khoon ko FAKE bologe aap? Kab tak sach ko chupaoge? 

@AITCofficial KA GUNDA-RAJ !! 
Women are raped, fa…",1390693249317163012,140,2021-05-07 15:41:23,,,en,Twitter for Android,0,288,kitni lasho aur khoon fake bologe aap kab tak sach chupaoge gundaraj woman raped
97,RT @KaurAbuseNWork: Victims of sexual assault have been coming forward to us in a relation to a Gurdwara in Derby. This case ranks as one o…,1390691849589899266,140,2021-05-07 15:35:49,,,en,Twitter for iPhone,0,67,victim sexual assault coming forward relation gurdwara derby case rank one
98,"Many #rape victims of #Tigray have contracted sexually transmitted diseases, including #HIV., doctors say. Demand for #abortions and emergency contraceptives has risen. #TigrayWarRapeVictims #WeaponizedRape @UN @Haavisto @EUCouncil @AnnLinde @USAmbUN https://t.co/Qfc9uAJQGd",1390689006988533760,274,2021-05-07 15:24:31,,,en,Twitter Web App,1,1,many rape victim tigray contracted sexually transmitted disease including hiv doctor say demand abortion emergency contraceptive risen tigraywarrapevictims weaponizedrape
99,"b""RT @MeGautamSingh: @narendramodi ji &amp; @AmitShah ji\nDeath is acceptable but #Rape is Intolerable. Our sisters are our culture we can't toler\xe2\x80\xa6""",1390688911249219590,144,2021-05-07 15:24:08,,,en,Twitter for Android,0,1,amp jindeath acceptable rape intolerable sister culture cant tolerxexxa
100,"Ogun Commissioner who was accused of attempted rape, secretly resigns from office.
Read Details: https://t.co/Cs7d6gd96B

#ScooperNG
#Rape
Read Trending News On Scooper https://t.co/btBs5nq3lD",1390686754362085391,192,2021-05-07 15:15:34,,,en,Twitter for Android,0,0,ogun commissioner accused attempted rape secretly resigns office read detail scooperng rape read trending news scooper
